date,isin,issue date,maturity date,coupon,historical close price,,,
2021-01-29,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.08,,,
2021-01-18,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.41,,,
2021-01-19,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.4,,,
2021-01-20,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.34,,,
2021-01-21,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.27,,,
2021-01-22,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.26,,,
2021-01-25,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.2,,,
2021-01-26,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.19,,,
2021-01-27,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.21,,,
2021-01-28,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.14,,,
2021-01-29,CA135087UT96,1992-08-17,2023-06-01,8.000%,118.12,,,
2021-01-18,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.61,,,
2021-01-19,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.6,,,
2021-01-20,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.57,,,
2021-01-21,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.54,,,
2021-01-22,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.54,,,
2021-01-25,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.51,,,
2021-01-26,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.51,,,
2021-01-27,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.52,,,
2021-01-28,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.5,,,
2021-01-29,CA135087ZU15,2011-08-02,2022-06-01,2.750%,103.5,,,
2021-01-18,CA135087B451,2013-07-02,2024-06-01,2.500%,107.51,,,
2021-01-19,CA135087B451,2013-07-02,2024-06-01,2.500%,107.53,,,
